id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_korban,satuan,tahun
87,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,0,KORBAN,2021
88,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,3,KORBAN,2021
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,0,KORBAN,2021
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,0,KORBAN,2021
91,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,0,KORBAN,2021
92,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,10,KORBAN,2021
93,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,0,KORBAN,2021
94,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,4,KORBAN,2021
95,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,1,KORBAN,2021
96,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,26,KORBAN,2021
97,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,0,KORBAN,2021
98,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,0,KORBAN,2021
99,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,0,KORBAN,2021
100,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,0,KORBAN,2021
101,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,1,KORBAN,2021
102,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,32,KORBAN,2021
103,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,0,KORBAN,2021
104,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,1,KORBAN,2021
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,0,KORBAN,2021
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,0,KORBAN,2021
107,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,0,KORBAN,2021
108,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,0,KORBAN,2021
