id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_pendidikan,jumlah,satuan,tahun
32062018,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,SD,1,KORBAN,2018
32062018,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,SLTP,0,KORBAN,2018
32062018,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,SLTA,0,KORBAN,2018
32062018,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,"PERGURUAN 
TINGGI",0,KORBAN,2018
32062018,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,TK,0,KORBAN,2018
32062018,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,PAUD,0,KORBAN,2018
32062018,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,NA,13,KORBAN,2018
32062018,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,"TIDAK 
SEKOLAH",1,KORBAN,2018
32062018,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,SD,1,KORBAN,2018
32062018,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,SLTP,2,KORBAN,2018
32062018,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,SLTA,0,KORBAN,2018
32062018,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,"PERGURUAN 
TINGGI",1,KORBAN,2018
32062018,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,TK,1,KORBAN,2018
32062018,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,PAUD,0,KORBAN,2018
32072018,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,NA,0,KORBAN,2018
